District_Code,RO_Code,Book,Deed_year,Deed_no,Serial_No,Serial_Year,tran_maj_code,tran_min_code,Volume_No,Page_From,Page_To,Date_of_Completion,Date_of_Delivery,Deed_Remarks,Scan_doc_type,hold,Exception_Type
"12","06","1","2005","00002","00002","2005","01","01","1","11","18","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00003","00003","2005","02","01","1","21","28","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00004","00004","2005","02","01","1","31","38","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00005","00005","2005","03","01","1","39","44","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00006","00006","2005","02","01","1","45","52","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00007","00007","2005","02","01","1","53","60","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00008","00008","2005","02","01","1","61","66","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00010","00010","2005","01","01","1","77","80","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00011","00011","2005","01","01","1","83","88","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00012","00012","2005","01","01","1","89","94","2018/11/20","2018/11/21",,"X","N",
"12","06","1","2005","00013","00013","2005","01","01","1","953","102","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00014","00014","2005","01","01","1","103","124","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00015","00015","2005","01","01","1","125","132","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00016","00016","2005","01","01","1","133","138","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00017","00017","2005","01","01","1","139","146","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00018","00018","2005","02","01","1","147","154","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00019","00019","2005","07","01","1","155","162","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00020","00020","2005","01","01","1","163","170","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00021","00021","2005","01","01","1","171","180","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00022","00022","2005","02","01","1","181","186","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00023","00023","2005","01","01","1","187","194","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00024","00024","2005","02","01","1","195","216","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00026","00026","2005","01","01","1","217","222","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00027","00027","2005","01","01","1","223","234","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00028","00028","2005","01","01","1","235","240","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00029","00029","2005","02","01","1","241","248","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00030","00030","2005","01","01","1","249","256","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00031","00031","2005","02","01","1","257","268","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00032","00032","2005","01","01","1","269","276","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00033","00033","2005","02","01","1","277","284","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00034","00034","2005","01","01","1","285","294","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00035","00035","2005","01","01","1","293","300","2018/11/05","2018/11/06",,"H","N",
"12","06","1","2005","00245","00245","2005","02","01","8","1","8","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00246","00246","2005","01","01","8","9","16","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00247","00247","2005","01","01","8","17","24","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00248","00248","2005","01","01","8","25","32","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00249","00249","2005","01","01","8","33","40","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00250","00250","2005","02","01","8","41","48","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00251","00251","2005","02","01","8","49","56","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00252","00252","2005","01","01","8","57","66","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00254","00254","2005","02","01","8","77","84","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00255","00255","2005","02","01","8","85","92","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00256","00256","2005","02","01","8","93","100","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00257","00257","2005","02","01","8","101","108","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00258","00258","2005","02","01","8","109","116","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00259","00259","2005","02","01","8","117","124","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00260","00260","2005","02","01","8","125","132","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00261","00261","2005","01","01","8","133","140","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00262","00262","2005","01","01","8","141","148","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00263","00263","2005","02","01","8","149","156","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00265","00265","2005","02","01","8","165","174","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00266","00266","2005","01","01","8","175","190","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00268","00268","2005","01","01","8","191","198","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00269","00269","2005","01","01","8","199","206","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00270","00270","2005","01","01","8","207","216","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00271","00271","2005","01","01","8","217","226","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00272","00272","2005","02","01","8","227","234","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00273","00273","2005","02","01","8","235","242","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00274","00274","2005","01","01","8","243","250","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00275","00275","2005","01","01","8","251","260","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00276","00276","2005","01","01","8","261","266","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00277","00277","2005","02","01","8","267","272","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00278","00278","2005","01","01","8","273","283","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00279","00279","2005","01","01","8","283","288","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00280","00280","2005","02","01","8","289","298","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00281","00281","2005","01","01","8","299","304","2018/11/14","2018/11/15",,"H","N",
